id,user_id,tree_id,comment_text,platform,sentiment,confidence,category,impact,water_drops,poison_drops,week_number
#######,#######,#######,nothingbina,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,insightful,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,A great leader.,twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,nice,instagram,positive,0.6,Normal,3,3,0,6
#######,#######,#######,you still beautil my sister,instagram,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,"well done,this was nice",instagram,positive,0.7,Normal,3,3,0,6
#######,#######,#######,beautiful,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,Amen🙏,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,So cute and awesome.,twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,"""weeeh""😂😂",twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,this is nice,instagram,positive,0.6,Normal,3,3,0,5
#######,#######,#######,this is beautiful😍,twitter,positive,0.6,Normal,3,3,0,1
#######,#######,#######,x,instagram,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,que seja vdd,twitter,neutral,0.5,Normal,1,0,0,5
#######,#######,#######,Cute and good looking guy.,twitter,positive,0.6,Normal,3,3,0,6
#######,#######,#######,Yess good tidingd,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,dance moves from my lovely country,instagram,positive,0.6,Normal,3,3,0,4
#######,#######,#######,"I guess according to them that what is a good strike looks like, everything ""'against men""",twitter,positive,0.6,Normal,3,3,0,1
#######,#######,#######,"Manchester City is winning, and Arsenal is losing.Arsenal must be worried about this, as City is getting their feet back, whereas Arsenal are losing players through injury",twitter,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,"mas principalmente mimei minha mãe e minha sobrinha, agora haja trabalho pra me recuperar do rombo kkkk",twitter,neutral,0.5,Normal,1,0,0,5
#######,#######,#######,We dont need him,twitter,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,God is good,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,Love the lighting system,instagram,positive,0.6,Normal,3,3,0,1
#######,#######,#######,fiquei sabendo agora e já quero tbm 🥹,twitter,neutral,0.5,Normal,1,0,0,5
#######,#######,#######,amen thanks,twitter,positive,0.6,Normal,3,3,0,5
#######,#######,#######,you are beautiful,instagram,positive,0.6,Normal,3,3,0,4
#######,#######,#######,Awesome picture.,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,tuelhos,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,"🤣😂🤣😂 Ratha is jumping up and down, arguing he did not constrain anyone 🤣🤣 who said it was by him #senzomeyiwatrial",twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,"Explore the latest earbuds, smartwatches, power banks, smart home devices, and other smart devices at the Oraimo online store. Keep Exploring! Use discount code: 9t761elx https://ke.oraimo.com?affiliate_code=yfd7hpkj",twitter,neutral,0.5,Normal,1,0,0,5
#######,#######,#######,so beautiful mylove,instagram,positive,0.7,Normal,4,4,0,5
#######,#######,#######,Good to see you sir.,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,"Solidarity! Reform without integrity is political thuggery. With the people, by the people, to the people and for the people. United we stand.",instagram,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,Great leader.,twitter,positive,0.6,Normal,1,0,0,3
#######,#######,#######,Good to see you sir,twitter,positive,0.6,Normal,3,3,0,6
#######,#######,#######,Nice look and communication.,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,"The US is a wonderfully built country that takes good care of its citizens and therefore it may do as it pleases, to anyone.",instagram,positive,0.7,Normal,4,4,0,4
#######,#######,#######,"preciso trabalhar mais, mas tô num cansaço ferrado 😭",twitter,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,🤣🤣 I gain weight by just smelling food 🤣🤣,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,I claim this too. Thank you.,twitter,positive,0.6,Normal,3,3,0,1
#######,#######,#######,"a pessoa numa boa, eu ja estaria rindo de nervoso pra pior kkkk",twitter,neutral,0.5,Normal,1,0,0,5
#######,#######,#######,nice,instagram,positive,0.6,Normal,3,3,0,6
#######,#######,#######,get lost bitch,instagram,negative,0.65,Profanity,5,0,5,1
#######,#######,#######,akawadingi amanga shame!!,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,God is good.,twitter,positive,0.6,Normal,3,3,0,5
#######,#######,#######,The king of Gens👏,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,clear and big offside #AVLARS,twitter,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,I'm very much behind Ouaddou. He has managed to get all our new signings gelling with the team. That's pretty rare in our league. I wish more success for him! 🙏,twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,@bluebaccon the chinese usually build the roads around the world,instagram,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,klay with the side quests,instagram,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,Love you from Indial,twitter,positive,0.6,Normal,3,3,0,5
#######,#######,#######,I wasnt aware about your weapons,twitter,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,Surround yourself with people and moments that make your heart feel light. That’s where the joy lives. ✨,twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,I didn't expect trading to be so boring. It's the same price delivery over and over again 🥱😂,twitter,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,He is the greatest of all time,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,x,instagram,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,🤣🤣,twitter,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,ouch,instagram,neutral,0.5,Normal,2,0,0,6
#######,#######,#######,tô só aquela cena da carminha gritando inferno por causa dessa rua barulhenta,twitter,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,amo comida de natal to vivendo ou esperando comer comida de natal,twitter,neutral,0.5,Normal,2,0,0,6
#######,#######,#######,That's a fucking amazing comeback,twitter,negative,0.65,Profanity,5,0,5,3
#######,#######,#######,que dia longo (de um jeito positivo),twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,Amen thank youuu,twitter,positive,0.6,Normal,3,3,0,6
#######,#######,#######,He is destined for Liverpool,twitter,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,"hoje tá difícil: foi cartão não passando, google wallet dando erro, sem sinal da vivo, google photos me deu mó problema e agora o ar que só ventila",twitter,negative,0.65,Profanity,5,0,5,4
#######,#######,#######,Great leader.,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,is she still absent? I didn't notice,twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,this is why knowledge is power 🫰,twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,great,twitter,positive,0.6,Normal,3,3,0,6
#######,#######,#######,que soninho queria tirar uma power nap,twitter,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,nicole mto durandal expy com aquela color palette amei,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,amen thank you,twitter,positive,0.6,Normal,3,3,0,6
#######,#######,#######,Good to see you.,twitter,positive,0.6,Normal,3,3,0,6
#######,#######,#######,Good to see .,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,parks and recreation,twitter,neutral,0.5,Normal,2,0,0,6
